species_name,lon,lat,year,month,is_presence,sst,chl_a,salinity,bathymetry
example_species,115.6181,20.7752,2020,1,0,19.28,0.41,29.75,-85.7
example_species,124.2607,27.9703,2023,3,1,19.01,1.126,29.73,-211.0
example_species,120.9799,28.1095,2020,8,1,19.99,0.699,30.04,-88.5
example_species,118.9799,29.5614,2020,3,0,18.57,0.637,30.63,-33.5
example_species,112.3403,30.8914,2023,4,0,19.2,0.428,30.28,-147.0
example_species,112.3399,34.6378,2021,8,0,18.24,0.74,29.82,-50.8
example_species,110.8713,27.7445,2021,1,1,22.96,0.485,30.39,-56.3
example_species,122.9926,24.8443,2021,6,1,20.23,0.624,28.63,-17.9
example_species,119.0167,31.9278,2022,1,1,19.08,1.112,30.61,-52.1
example_species,120.6211,24.0625,2023,1,1,20.47,0.581,29.18,-110.3
example_species,110.3088,26.5846,2023,8,1,19.84,0.83,29.82,-5.0
example_species,124.5486,21.1768,2020,11,0,19.87,0.459,29.5,-60.3
example_species,122.4866,20.3803,2022,4,1,21.1,0.593,29.41,-53.1
example_species,113.1851,34.4397,2021,12,1,21.18,0.954,30.59,-117.6
example_species,112.7274,32.5397,2022,1,0,19.24,0.475,29.78,-86.4
example_species,112.7511,30.4396,2023,10,1,19.17,0.962,30.19,-110.9
example_species,114.5636,26.1343,2023,7,1,19.65,0.742,30.0,-64.2
example_species,117.8713,22.5994,2020,5,0,16.66,0.487,30.27,-5.0
example_species,116.4792,22.3466,2020,5,0,17.82,0.726,30.07,-132.6
example_species,114.3684,23.7536,2023,1,1,22.11,0.795,29.38,-148.4
example_species,119.1778,28.2384,2021,10,1,22.6,0.724,30.54,-5.0
example_species,112.0924,30.7189,2021,11,0,19.66,0.286,29.76,-70.7
example_species,114.3822,29.903,2022,6,1,20.93,0.455,29.24,-97.5
example_species,115.4954,24.199,2023,9,1,20.54,0.55,29.81,-5.0
example_species,116.841,34.323,2023,9,1,24.71,0.585,30.78,-97.8
example_species,121.7776,31.0685,2021,8,1,21.84,0.724,30.48,-5.0
example_species,112.9951,28.3153,2021,5,0,19.85,0.636,29.84,-15.2
example_species,117.7135,29.1758,2023,1,0,18.67,0.333,29.86,-86.0
example_species,118.8862,26.294,2020,9,0,17.71,0.676,29.88,-5.0
example_species,110.6968,23.716,2023,1,1,20.31,0.722,31.04,-87.9
example_species,119.1132,25.3396,2023,8,0,18.99,0.712,30.23,-8.6
example_species,112.5579,31.3677,2021,5,0,17.9,0.816,30.23,-40.8
example_species,110.9758,20.2159,2021,3,0,19.04,0.767,30.52,-5.0
example_species,124.2333,21.7411,2020,11,0,18.58,0.692,30.18,-5.0
example_species,124.4845,20.69,2020,7,1,22.73,0.586,29.93,-49.3
example_species,122.126,20.6109,2022,7,1,21.49,0.268,29.95,-96.5
example_species,114.5692,32.8319,2023,9,1,20.05,0.686,29.98,-32.5
example_species,111.4651,30.5549,2021,7,1,22.24,0.642,29.99,-98.6
example_species,120.2635,27.1126,2020,11,1,20.26,0.654,30.41,-5.0
example_species,116.6023,21.4675,2022,3,0,18.8,0.345,30.05,-42.3
example_species,111.8306,27.3742,2022,11,1,22.31,0.384,30.37,-76.9
example_species,117.4277,27.1021,2021,1,1,20.91,0.811,29.99,-43.7
example_species,110.5158,22.598,2021,8,0,18.45,0.592,30.04,-131.4
example_species,123.6398,26.5078,2022,12,1,19.9,0.736,29.06,-112.5
example_species,113.8817,25.9776,2020,3,0,18.74,0.606,30.48,-5.0
example_species,119.9378,29.2378,2022,12,0,18.06,0.606,30.22,-96.2
